experiment,alpha,comparison,mean_pct,sem_val,t,p,n
HSI,0.05,C vs D,20.554312178594643,1.3856687017660276,14.833496745938097,9.462175803805943e-20,50
HSI,0.1,C vs D,12.002653730105612,1.2763075814228575,9.404201545778465,1.4854800799907553e-12,50
HSI,0.15,C vs D,7.475310720801339,0.8669409005701362,8.622630119175673,2.1678216361430236e-11,50
S2,0.05,C vs D,5.694596477923162,0.9937037285527432,5.7306783846095914,3.786645931113597e-06,29
S2,0.1,C vs D,3.9841901984153254,0.6157004535293045,6.470987922093023,5.203174518244632e-07,29
S2,0.15,C vs D,3.267608403917688,0.4098815565619495,7.9720796205764906,1.1073983432135446e-08,29
GRAND,0.05,C vs D,15.099479832778528,1.2454956446558068,12.123269878596224,1.2666719484892612e-19,79
GRAND,0.1,C vs D,9.059167117206648,0.9429425963813574,9.607336811352214,7.19875814947184e-15,79
GRAND,0.15,C vs D,5.93071113612253,0.6113136121193946,9.701585272346614,4.73561862024906e-15,79
