alpha,method,is_mean,is_std,cov_mean,size_mean,sscv_mean,sscv_std,n
0.05,A,3.466337270760865,0.348521945045889,0.9500205586107084,1.4671596151891995,5.1194611339296054,0.6621062914245074,29
0.05,B,3.372582427537367,0.37489223219762424,0.9510927049482926,1.41629062546907,4.829272785550096,1.9376686531097755,29
0.05,C,3.3769879307142627,0.36040233517445724,0.9514118149867686,1.4334605301850072,4.919862114429736,1.0063892694511705,29
0.05,D,3.585307238929607,0.36985059804411763,0.9487436881982715,1.5350547668604662,5.016688702095668,1.0352616420756666,29
0.1,A,3.267961909075795,0.23628247174370862,0.8999364548937251,1.2666910069502963,9.99606810049935,0.021173926816082662,29
0.1,B,3.20788237261643,0.22826586111799987,0.8994890274886621,1.197662922389672,9.136620486309212,1.5305522971239685,29
0.1,C,3.1990170649593352,0.23691244929524266,0.9007350259185788,1.213717583330912,9.20104102339612,1.2345477730231107,29
0.1,D,3.336567664815372,0.28334152901949006,0.8984943869868747,1.3064554045528647,9.843724770173342,0.41399707633936905,29
0.15,A,3.171406701620048,0.15300559198476027,0.8477358406981996,1.1412179109293772,15.114942528735634,0.6189844605901728,29
0.15,B,3.089558003939067,0.15429190843648208,0.8486370168050248,1.0713848946727311,13.858970582680199,3.7257854305276696,29
0.15,C,3.088635308281288,0.15725552605891527,0.849664029174538,1.0841556972751276,13.736565670417363,1.9154130019506186,29
0.15,D,3.1957110315383064,0.19847514198243618,0.8472913963369173,1.159596316030536,13.846744734856266,2.364153353648259,29
