dataset,difficulty,method,mean_size,coverage,n
botswana,1,A,0.9594396006808686,0.9084043871890088,13893
botswana,1,B,0.9413308940749955,0.9066187261427897,13893
botswana,1,C,0.9390557136335168,0.9073171151858965,13893
botswana,1,D,0.9330731708972163,0.8992088850408418,13893
botswana,2,A,1.2823856234064057,0.8094522730819408,1039
botswana,2,B,1.2081070189307632,0.8237518660629458,1039
botswana,2,C,1.2370549646085622,0.8618165003389782,1039
botswana,2,D,2.0,0.9335709911816921,1039
botswana,3,A,1.6862770562770564,0.6861471861471862,58
botswana,3,B,1.3963636363636363,0.6359307359307359,58
botswana,3,C,1.5796969696969696,0.8478354978354978,58
botswana,3,D,3.0,0.9954545454545455,58
ip,1,A,1.1158123224040044,0.9335253529281097,15917
ip,1,B,1.067808337512487,0.9367862745325451,15917
ip,1,C,1.1700410491986775,0.9237935732431144,15917
ip,1,D,0.990235424961825,0.8923991655925183,15917
ip,2,A,1.6862382665881224,0.8680440037769189,11294
ip,2,B,1.5212547011581627,0.8751768071329085,11294
ip,2,C,1.669401388739369,0.908255073480222,11294
ip,2,D,2.0,0.8641851336539347,11294
ip,3,A,2.2985706395558685,0.8825842952105474,13072
ip,3,B,2.0368111806936295,0.8766274615910101,13072
ip,3,C,2.058295983541425,0.9265607824700284,13072
ip,3,D,3.0,0.909772999842976,13072
ip,4,A,2.965150581317148,0.906617748858651,8252
ip,4,B,2.5082633653719113,0.8975994195298677,8252
ip,4,C,2.441552997997838,0.9395870542702834,8252
ip,4,D,4.0,0.943035617554072,8252
ip,5,A,3.7724993896406067,0.880684148552265,1465
ip,5,B,3.079221919453032,0.8586752994897667,1465
ip,5,C,3.2132827427818897,0.9091236042409646,1465
ip,5,D,5.084463925167782,0.9140842746567571,1465
ksc,1,A,1.0125993994212126,0.940534803096982,14899
ksc,1,B,1.0012357203704523,0.9420831147904151,14899
ksc,1,C,1.003465893443445,0.9207916334777277,14899
ksc,1,D,0.951825449527685,0.8967298553718124,14899
ksc,2,A,1.448845131983455,0.8695866646626446,4803
ksc,2,B,1.3164797817605836,0.8833920104487148,4803
ksc,2,C,1.4978897142081014,0.9236655585473106,4803
ksc,2,D,2.0,0.9129737931558537,4803
ksc,3,A,2.057097997679849,0.780496895874043,2511
ksc,3,B,1.783612396820537,0.7847231081032849,2511
ksc,3,C,2.1859100361326984,0.8776839735419495,2511
ksc,3,D,3.0,0.8576223258658213,2511
ksc,4,A,2.7596848618923326,0.7702924208426094,1499
ksc,4,B,2.3691850937956893,0.7386824259720555,1499
ksc,4,C,3.0249821483535237,0.8637422415388791,1499
ksc,4,D,4.0,0.857896325358283,1499
ksc,5,A,3.5197540491134207,0.6923304295103081,1098
ksc,5,B,2.9051554808931757,0.6718892442765324,1098
ksc,5,C,3.858286668769055,0.7534690671624331,1098
ksc,5,D,5.156276923583109,0.792402169834092,1098
pu,1,A,0.9974957543075169,0.9130462700778722,169455
pu,1,B,0.9825629343920742,0.908098053832959,169455
pu,1,C,1.009733623048031,0.9064357168852611,169455
pu,1,D,0.963632459896408,0.8824051132566633,169455
pu,2,A,1.3567525335087867,0.8445133218713338,41746
pu,2,B,1.3040666989257383,0.8632015899939353,41746
pu,2,C,1.4454835193017455,0.9290087187526324,41746
pu,2,D,2.0,0.9669585257969366,41746
pu,3,A,1.8120780376864818,0.7765681747240589,1387
pu,3,B,1.6339852875849352,0.780184605449268,1387
pu,3,C,2.001418037048924,0.8894549491769019,1387
pu,3,D,3.0,0.9457372933946827,1387
pu,4,A,2.132142857142857,0.46071428571428574,38
pu,4,B,2.1357142857142857,0.6,38
pu,4,C,2.7535714285714286,0.6857142857142857,38
pu,4,D,4.0,0.7714285714285715,38
pu,5,A,2.666666666666667,0.8333333333333333,4
pu,5,B,2.333333333333333,0.8333333333333333,4
pu,5,C,3.333333333333333,1.0,4
pu,5,D,5.166666666666666,1.0,4
sa,1,A,0.9859533413094036,0.9192379425702443,210646
sa,1,B,0.967066508260312,0.9080727309788795,210646
sa,1,C,0.9820392252490471,0.9010636987408995,210646
sa,1,D,0.9500357040043582,0.8850113574910259,210646
sa,2,A,1.3223980603764096,0.8379924833235407,56523
sa,2,B,1.298494778431687,0.8756008447728589,56523
sa,2,C,1.437299709712793,0.9523478188925425,56523
sa,2,D,2.0,0.9638199401733644,56523
sa,3,A,1.7734687539245695,0.7497655183577079,2065
sa,3,B,1.511660767261915,0.7801168247646164,2065
sa,3,C,1.7808518598398961,0.8710172815243652,2065
sa,3,D,3.0,0.8589222228748747,2065
sa,4,A,2.3557336182336184,0.8578228869895537,160
sa,4,B,1.8692822095599873,0.8091009813232035,160
sa,4,C,1.9128838239949353,0.8524810066476733,160
sa,4,D,4.0,0.989969135802469,160
sa,5,A,1.6,1.0,6
sa,5,B,1.4,1.0,6
sa,5,C,1.4,1.0,6
sa,5,D,5.0,1.0,6
