dataset,method,mean,std
botswana,A,9.999999999999998,0.0
botswana,B,9.999999999999998,0.0
botswana,C,9.999999999999998,0.0
botswana,D,9.545454545454543,1.4373989364401711
ip,A,5.025170623386249,2.433620010249945
ip,B,8.978881987577637,2.214897504089986
ip,C,6.644487092329821,1.7387515534373124
ip,D,5.650284977147597,1.357643437353927
ksc,A,23.59157602077729,22.20251100548923
ksc,B,20.719091273595254,14.452308130571517
ksc,C,22.64639084681551,25.08522167475216
ksc,D,18.246428390791245,16.744660398932957
pu,A,10.933333333333332,4.534640334465677
pu,B,9.829242262540019,0.539983378470589
pu,C,18.02772777600277,17.871753202957194
pu,D,19.43023590333717,25.655831657493476
sa,A,11.327440924008881,7.1079674159937865
sa,B,9.562982005141386,1.3819722422329677
sa,C,14.164215686274508,14.971683093124502
sa,D,10.110350363167528,1.055698305122693
