tile,accuracy_ae,I_raw_ae,I_smooth_ae,std_is_ae,sacp_is_ae,geocp_is_ae,geocp_vs_std_ae,geocp_vs_sacp_ae,bw_ae,accuracy_s2,I_raw_s2,I_smooth_s2,std_is_s2,sacp_is_s2,geocp_is_s2,geocp_vs_std_s2,geocp_vs_sacp_s2,bw_s2
everglades_fl,0.9974682152932987,-0.0030264372270534384,0.4813550972235469,2.9493848154446334,2.919775932779834,2.995698709612884,-1.5702899779548967,-2.600294631539287,300,0.9437250522049232,0.06804057843749892,0.5075415976886423,3.071828731492597,2.9762905162064826,2.900660264105642,5.572200872793602,2.5410910557628372,1000
hartford_ct,0.8368226285128055,0.06842513572372436,0.37877853329658806,3.4906453226613308,3.1943971985992996,3.231615807903952,7.420677004213368,-1.1651215234277104,300,0.7846853549791057,0.11937796501837558,0.4303031765343906,3.7531012404961985,3.532513005202081,3.537014805922369,5.7575434481288,-0.12743904165840808,300
lancaster_pa,0.8488716763090497,0.06359345781114224,0.3759679292519514,3.1789536861058316,3.121736520956287,3.136841052315695,1.3247325361862714,-0.48385029479621294,300,0.778213196833655,0.13433174066048775,0.45571482903184607,3.5910773231969593,3.438631589476843,3.453035910773232,3.844011142061291,-0.4188969048173143,1000
lubbock_tx,0.838102971513848,0.10055972535144898,0.3990456057030408,3.3708112433730117,3.2292687806341904,3.4281284385315596,-1.7003976497121571,-6.158039835207382,300,0.7673657535089535,0.16949751813629202,0.46228301981088993,3.6866059817945382,3.5584675402620785,3.4498349504851453,6.422466422466426,3.0527913644796776,300
mississippi_la,0.9903320276750741,0.0008327180301915899,0.47046832642351805,2.7955591118223646,2.8505701140228044,2.854370874174835,-2.103756708407869,-0.13333333333334296,1000,0.9668516477676399,0.019642189470554974,0.478744226649093,2.895558223289316,2.9529811924769906,2.906062424969988,-0.36276948590381297,1.5888610339453837,1000
phoenix_az,0.8224914242201257,0.11691643669678356,0.38533023544937434,3.4856942777110844,3.3945578231292517,3.383653461384554,2.9274172717619003,0.3212306966874896,300,0.7901423944777702,0.15173173980524077,0.42272111914755467,3.5257051410282054,3.4131826365273055,3.3980796159231845,3.619858156028366,0.44249084249084597,1000
polk_iowa,0.8282120092700054,0.07785445181179255,0.37807116740746816,3.404361744697879,3.3120248099239697,3.2171868747499,5.498089920658242,2.8634427764521146,300,0.8039031818321777,0.10505832851840723,0.4240398645301161,3.469787915166066,3.3484393757503,3.293917567026811,5.068619536385645,1.6282752233276547,1000
sacramento_ca,0.8330266974399866,0.08319523415983694,0.3891385234539522,3.5110533159947983,3.407622286686006,3.418925677703311,2.6239316239316195,-0.3317090354018626,300,0.8824213876939085,0.11457602506414175,0.5426204554268639,3.253201280512205,3.1746698679471788,3.2615046018407363,-0.25523540084258733,-2.7352366546921325,100
seattle_wa,0.9198409790414773,0.028464882362856003,0.4056072936817954,3.1789536861058316,3.0734220266079824,3.080324097229169,3.102580239144111,-0.22457282343368795,300,0.8720404504454031,0.057535756243014734,0.4073274073276527,3.330699209762929,3.1940582174652397,3.120136040812244,6.321890861038527,2.314365350286553,300
yellowstone_wy,0.9342248928296633,0.04688643491607441,0.4805186482874146,3.130639191757527,3.126738021406422,3.087926377913374,1.3643480205770526,1.2412822317486785,1000,0.8410607696481817,0.1345148266698635,0.5355022267340724,3.3701740348069613,3.187037407481496,3.191738347669534,5.294554088143636,-0.1475018830027676,1000
