tile,radius,n_neighbors,is_std_base,is_sacp,is_geocp,cov_sacp,cov_geocp,cv_bw,sd_q,sacp_vs_std_pct,geocp_vs_std_pct,geocp_vs_sacp_pct
lancaster_pa,0,0,3.18018018018018,3.240740740740741,3.2997997997998,0.8963963963963963,0.8933933933933934,20,0.013213753003638423,-1.9043122442555949,-3.7614101353478167,-1.822393822393819
lancaster_pa,1,8,3.18018018018018,3.360860860860861,3.2317317317317316,0.8908908908908909,0.8988988988988988,10,0.04689056023375941,-5.681460497324526,-1.6210261252754137,3.8421444527178052
lancaster_pa,2,24,3.18018018018018,3.214214214214214,3.2572572572572573,0.8923923923923924,0.8898898898898899,50,0.0067039538032477525,-1.0701920050361946,-2.42367012905257,-1.3391466832762458
lancaster_pa,3,48,3.18018018018018,3.5015015015015014,3.2372372372372373,0.8768768768768769,0.8923923923923924,10,0.04213365317546032,-10.103871576959394,-1.794145420207748,7.54716981132075
lancaster_pa,5,120,3.18018018018018,3.5595595595595597,3.5285285285285286,0.8743743743743744,0.8768768768768769,20,0.026785374607259486,-11.929493232609387,-10.953729933899911,0.8717660292463464
lancaster_pa,10,440,3.18018018018018,3.511011011011011,3.3793793793793796,0.8788788788788788,0.8873873873873874,20,0.028239331935362426,-10.40289581366069,-6.2637708530059895,3.7491090520313572
polk_iowa,0,0,3.2801400700350176,3.2651325662831416,3.2736368184092046,0.904952476238119,0.9044522261130565,50,0.0005198539791007431,0.4575263077626977,0.1982614000305046,-0.2604565650375349
polk_iowa,1,8,3.2801400700350176,2.939469734867434,2.946473236618309,0.9184592296148074,0.9179589794897449,50,0.002621264196807857,10.385847186213205,10.17233490925729,-0.23825731790332624
polk_iowa,2,24,3.2801400700350176,2.924462231115558,2.9619809904952477,0.9149574787393697,0.9129564782391195,50,0.002529070272849135,10.843373493975903,9.699557724569164,-1.2829284981183677
polk_iowa,3,48,3.2801400700350176,2.989994997498749,2.982991495747874,0.912456228114057,0.9129564782391195,50,0.0037156546174467826,8.845508616745471,9.059020893701389,0.23423121967541327
polk_iowa,5,120,3.2801400700350176,3.1135567783891944,3.0485242621310658,0.9074537268634317,0.9114557278639319,20,0.01721087372979569,5.078542016165938,7.061156016470943,2.0886889460154117
polk_iowa,10,440,3.2801400700350176,3.154577288644322,3.1645822911455728,0.9084542271135568,0.9084542271135568,20,0.01998842431816613,3.827970108281235,3.522952569772766,-0.31715826197273006
